employerId,location,buildingId,age,hourlyRate
379,POINT (-1849.997168394888 1744.6010147106394),823,49.0,16.10881668
380,POINT (41.51783767879146 418.7264799744545),154,,12.65603532
381,POINT (877.2786575380362 1358.5441805909259),279,44.75,18.502153767499998
382,POINT (670.3987400004884 1584.4743462106067),3,35.25,15.559258527777779
383,POINT (829.9556783260775 2163.4803049897623),146,30.666666666666668,32.34297176625
384,POINT (880.1644882398598 4339.7016557216575),527,37.0,25.10963212
385,POINT (231.13884534051988 1095.6471792268785),782,36.4,21.899449633333333
386,POINT (-1349.8842287593952 1610.4623628717086),596,41.4,19.1066534225
387,POINT (864.9382009582821 1556.3972795892669),880,40.0,16.46182116
388,POINT (611.8427226577171 2550.7250184246723),986,41.6,20.353948631428572
389,POINT (1749.107722959826 4023.6598528872755),1020,36.0,18.497409513333334
390,POINT (994.4462620941047 3762.3654281251634),347,52.666666666666664,16.8435543475
391,POINT (609.8156412485578 787.4692664792319),632,29.0,11.941695039999999
392,POINT (-885.2966139548657 1555.9764946386085),315,34.333333333333336,24.75882353333333
393,POINT (903.9691099852218 4220.741537877808),592,36.0,18.538409335
394,POINT (865.149408963124 982.7393731902811),893,56.0,37.14055468
395,POINT (286.586327845334 1725.5999247626096),230,35.0,23.3934363825
396,POINT (868.902110395577 4390.34074468453),590,36.0,18.374028875
397,POINT (1499.3204774627252 4304.553083816536),351,33.69292333614153,14.870422686249999
398,POINT (754.0987512384932 1394.0500627767071),692,42.0,22.0487957325
399,POINT (1626.36173317109 4226.189405838731),180,34.0,14.142758844444444
400,POINT (753.1769059100845 1739.395851679909),227,51.0,20.123082466666666
401,POINT (-1674.8630003427375 1638.1520588255166),623,33.6,16.41660189375
402,POINT (1004.1152674725888 4462.540163068401),717,36.0,13.660098302
403,POINT (2026.3999572104358 4142.402774048681),1023,48.166666666666664,18.124980395714285
404,POINT (2630 4050),103,36.0,13.55676897
405,POINT (1535.4111740520664 4021.741043075247),982,48.6,19.011275915714286
406,POINT (973.2374190327052 3805.640410966102),347,32.333333333333336,14.784496136666668
407,POINT (1105.2630658126443 3730.801103253373),1033,45.25,14.6636882475
408,POINT (412.9860808984934 1033.1806025214216),516,41.666666666666664,25.7559433425
409,POINT (1207.490101417887 4007.885706041321),225,45.0,13.072489873333334
410,POINT (1376.3976505541523 4822.779542501879),1024,37.0,20.062492158
411,POINT (916.9315425022253 4292.958506850986),527,45.5,19.784100266666666
412,POINT (496.2476568904982 1686.1524496266945),1009,46.0,10.765578305
413,POINT (917.1190165763343 2102.895037900609),354,43.0,19.282614674285714
414,POINT (-82.06554016401982 1511.1129553803012),983,31.8,20.4709387875
415,POINT (1496.4456131589884 4021.741043075247),982,39.0,28.060433285000002
416,POINT (507.31810222892034 1381.6774426214972),493,39.25,28.066444569999998
417,POINT (-903.1271422325927 1570.7679946298354),315,37.0,17.68442563
418,POINT (789.621374888836 1269.8729153421614),472,41.5,16.716780652857143
419,POINT (660.2070252315734 3532.331326221758),511,35.0,20.562760415
420,POINT (1677.4145716575592 4234.689307976414),795,55.0,11.871798
421,POINT (813.0476801480482 4199.837241599387),479,28.4,19.829931576
422,POINT (1273.4344092361837 1252.930095226732),317,39.5,13.65268855875
423,POINT (650.4125958509642 1744.50624697462),304,38.0,20.213067245
424,POINT (39.59877121487088 1259.7742218297456),936,38.8,32.372571948
425,POINT (-328.8906021165615 1795.1079117198856),946,36.5,12.807440026666667
426,POINT (-904.2325319573049 1335.9506479412894),256,38.75,27.698038001999997
427,POINT (-885.2966139548657 1555.9764946386085),315,32.0,20.609597613333335
428,POINT (1174.5599898893972 3684.5515693344405),323,30.333333333333332,32.744586858000005
429,POINT (715.9086691087551 4418.132191398763),964,32.2,32.47616302
430,POINT (707.1111664944394 2001.4772026036535),304,53.0,11.834186035
431,POINT (-294.35496310306917 1795.1079117198856),946,59.0,15.09463255
432,POINT (991.3270590871906 4100.917174659022),142,37.25,24.094383136666664
433,POINT (318.94970745415804 1033.1806025214216),516,44.0,11.82935948
434,POINT (800.6342599068146 4103.165163999878),150,39.2,15.32244366
435,POINT (1122.7448164206246 4383.066969959758),34,32.0,12.763436941428571
436,POINT (1376.3976505541523 4861.346259046002),1024,26.0,24.302856756666667
437,POINT (660.2070252315734 3610.994566867167),511,32.57142857142857,21.484534284444447
438,POINT (2130.281249848629 4828.020411811667),972,45.2,17.6194312775
439,POINT (585.2216880077107 3622.7180435904966),395,49.5,23.41524993428572
440,POINT (448.79913987469365 4328.78174286464),644,29.8,18.00709523125
441,POINT (-81.95690431663532 1423.077479497391),241,39.2,21.57957430857143
829,POINT (-1683.9788287469512 4166.34595719268),411,26.0,32.230570125
830,POINT (-804.6120047431612 5042.0163759841835),421,47.25,21.45941268
831,POINT (-2200.279972988196 3572.4693137151007),32,44.333333333333336,18.355222415714284
832,POINT (-831.9562922398395 4676.4089408349555),549,,11.12019412
833,POINT (-1967.8258905516104 4299.950272203162),93,30.333333333333332,17.220020475
834,POINT (-2380.139484985013 2944.7204566724226),869,23.5,19.240757507142856
835,POINT (-2101.689510602101 4262.490673412702),619,,10.767645475
836,POINT (-692.9825370378298 4950.223259408762),694,46.5,13.381235983333333
837,POINT (-2236.8263209885145 5274.27538066303),17,31.833333333333332,16.84293821125
838,POINT (-1403.8103454524935 4457.26433207949),422,44.75,11.979772168333334
839,POINT (-1567.7082661009404 4491.2624087298655),162,47.0,12.2516589075
840,POINT (-1771.452216635636 4258.263943913515),917,49.666666666666664,13.265546968571428
841,POINT (-1771.452216635636 4386.238292917949),917,40.2,15.339364484444445
842,POINT (-692.7127197082955 5040.3388326223985),773,43.333333333333336,12.4519864925
843,POINT (-2330.4222998927135 2944.7204566724226),869,39.25,24.1886928475
844,POINT (-836.719215114457 4482.040750623393),86,56.0,20.802945166666667
845,POINT (-2363.1419320065197 2673.8808116595965),373,43.5,12.823885825714285
846,POINT (-996.7808287569317 4750.184044489247),966,33.0,13.425393395
847,POINT (-1680.9362530924764 4258.263943913515),917,40.2,16.580192262857143
848,POINT (-468.02948129574554 4779.921390126033),121,48.434516523867806,40.857167215
849,POINT (-2231.66793504236 2598.728790351024),426,23.5,16.722428815
850,POINT (-2364.178807858101 5198.1957151603365),485,46.0,30.701455002
851,POINT (-1398.3957137180148 4280.0291470642405),544,37.666666666666664,19.049310024
852,POINT (-820.4751468446739 4770.301635511239),474,39.25,17.61449834
853,POINT (-811.6790007765514 4695.717947460926),549,50.25,19.42729641
854,POINT (-2107.0655661560804 4184.061539506543),446,30.0,18.0922859925
855,POINT (-784.6236528229551 4940.6907489765335),375,33.4,19.938508024285714
856,POINT (-468.02948129574554 4846.264154979615),121,30.0,18.52612987142857
857,POINT (-1096.0839701505342 4912.223245927846),190,38.2,18.26477977375
858,POINT (-1072.87107729431 4660.49395382038),937,,10.01522248
859,POINT (-1684.5679842891263 3880.0711276345087),238,42.8,19.592052626666668
860,POINT (-836.8537841209326 4575.535706396641),132,52.0,12.265178288
861,POINT (-2235.2922404843403 5106.71812915923),151,38.0,13.719301894
862,POINT (-1475.3580476204697 4473.948598738494),578,36.27050904501473,12.24481948
863,POINT (-1967.8258905516104 4254.2510682971215),93,48.5,18.028970618
864,POINT (-1885.1886006319482 4569.0851981845035),118,42.666666666666664,31.96802396
865,POINT (-1968.219929915483 4032.689324603983),862,39.6,23.04358586
866,POINT (-1496.9713369216481 4493.171613333192),578,42.5,39.31366187
867,POINT (-1903.2691698783528 4549.78019591636),118,44.6,19.528411745555555
868,POINT (-1982.7850080737494 4381.550830536558),416,41.666666666666664,17.02591849555556
869,POINT (-855.2484275272525 4593.770197855418),132,33.25,15.958155272857143
870,POINT (-1499.9043260061567 4258.263943913515),917,38.5,23.349704882
871,POINT (-2202.659451917056 3456.928318795747),297,42.8,16.690932926666665
872,POINT (-2202.659451917056 3327.781752937518),297,43.0,16.08368551
873,POINT (-2000.3032213302695 4184.061539506543),446,48.0,24.36875338625
874,POINT (-1985.985052430187 4683.882031145004),567,32.333333333333336,23.3194175
875,POINT (-981.7218378806529 4774.377841270679),966,43.0,31.781773785
876,POINT (-1670.937273533352 4186.622203455871),411,29.857142857142858,18.24164250333333
877,POINT (-1784.078473278472 4571.813634096875),670,36.25,25.543725277777778
878,POINT (-1104.6810874856722 4468.581510395101),205,33.666666666666664,16.97110633
879,POINT (-2198.792729602534 4271.178583140792),930,31.0,19.13983543
880,POINT (-2330.4222998927135 2982.861013084039),869,46.666666666666664,14.518568244999999
881,POINT (-911.019048928239 4853.786158585597),243,38.5,26.972538720000003
882,POINT (-1241.6483470328672 3722.01804223004),106,25.0,17.846666313333333
883,POINT (-2148.436841916328 5261.788712538423),17,43.875,17.504564725
884,POINT (-1968.219929915483 3886.9152696618244),862,25.0,18.726813876666668
885,POINT (-2195.7632940592357 5124.807852313174),151,30.2,19.106097656666666
886,POINT (-784.6236528229551 4863.66806749154),375,38.0,20.449246953333333
887,POINT (-1590.604526018032 4166.9915883892645),339,42.0,16.079727653333332
888,POINT (-1034.4629823865148 3711.3026228381386),254,50.0,13.70042905
889,POINT (-1590.4202895493163 4258.263943913515),917,57.5,23.257630385
890,POINT (-2240.4913941583936 5198.567602243795),781,24.0,10.49314261
891,POINT (-1089.9889021305112 4455.822342476473),205,34.2,22.185071716
1279,POINT (-654.0366978538146 3632.0760648960236),923,52.333333333333336,24.492449219999997
1280,POINT (-501.42676062779447 3608.0722709059037),489,26.0,16.13564122833333
1281,POINT (-250.10250760487784 4857.0064836405545),580,41.262959472196044,24.635990479999997
1282,POINT (-746.0297799695958 4008.345279959909),765,41.0,14.748140990000001
1283,POINT (-2909.0282137217323 6510.130398749252),870,40.5,18.035457627142858
1284,POINT (-746.105838089235 5429.550547514793),260,42.0,20.493489008
1285,POINT (170.74694042286592 4771.135720847398),595,38.0,23.13893967375
1286,POINT (-2724.188038485895 6717.649856866765),715,42.0,17.527243568
1287,POINT (-5.816781980895537 3582.204933328363),255,40.75,18.900008176666667
1288,POINT (-657.7838584306992 5932.81369824289),680,40.333333333333336,13.62166162142857
1289,POINT (-3528.306824887696 4886.547525269254),441,31.5,19.442728698333333
1290,POINT (-625.2259566520925 4283.435087651933),755,54.0,13.89242700142857
1291,POINT (-2010.8517708960426 5283.76492656323),475,40.8,14.30923113375
1292,POINT (-170.84228756724124 3790.7387811979065),664,50.5,14.514822074
1293,POINT (-1912.6667454275262 5288.50006673243),333,58.0,27.94140372
1294,POINT (-580.0171765817988 5936.726442233701),49,27.0,16.699983825
1295,POINT (-831.1509970580761 4313.035927387888),981,34.4,24.93484981
1296,POINT (-826.2456539995576 5240.884421871655),1016,38.0,29.289626623333334
1297,POINT (-3255.070596103328 5479.41178070503),775,35.4,14.6275641525
1298,POINT (-3569.215604711074 4903.19250465635),441,27.5,19.776808598888888
1299,POINT (-769.6207629156387 3991.9429115396124),765,37.333333333333336,19.547058054285714
1300,POINT (-251.55200766343 4701.616285011303),561,32.25,15.975685088333334
1301,POINT (-2847.855610673995 6663.900855198909),408,49.0,15.24442685
1302,POINT (-3532.3417312509846 5586.896700834855),76,42.0,17.458635502857142
1303,POINT (-173.36434821207166 3690.962126114104),352,41.333333333333336,18.967905318
1304,POINT (-3325.5754177846347 5307.883074335268),410,44.25,28.954354749999997
1305,POINT (-416.1482587338951 5854.826833733975),64,21.5,12.813665046666666
1306,POINT (-643.7038073647876 5917.381045442618),680,31.666666666666668,19.750547605555553
1307,POINT (-711.2265332697073 3649.718385741581),923,30.6,19.337756238333334
1308,POINT (-580.0171765817988 5936.726442233701),49,26.5,25.664778735
1309,POINT (-3048.226902478323 6283.8148275615595),88,30.0,12.395626218571428
1310,POINT (-3061.6662672300545 5929.835547456925),434,37.0,11.872011095
1311,POINT (-1730.46161795225 5925.860203271363),401,37.0,14.901543349999999
1312,POINT (-271.3160303970743 4985.574640487972),429,25.0,25.20679402
1313,POINT (-276.66830053571516 5125.990451518039),467,36.0,22.0860181875
1314,POINT (-3366.855921141151 5265.173730073946),410,34.666666666666664,12.736607095
1315,POINT (-1275.0132591831693 5248.064077146062),156,38.714285714285715,14.479500315555555
1316,POINT (447.7528813037526 4446.320032225456),1034,51.666666666666664,17.685711592
1317,POINT (-2616.4800271638437 6541.191811600034),588,43.0,13.467009275
1318,POINT (-525.2895730956825 4289.093106712981),343,40.333333333333336,13.372000233333333
1319,POINT (-3366.855921141151 5307.883074335268),410,41.333333333333336,19.81626058333333
1320,POINT (-840.6753278188867 5842.41531956319),284,51.5,19.09323652333333
1321,POINT (-2616.4800271638437 6497.734086456471),588,25.0,19.902477835
1322,POINT (-1506.2062401757785 4764.893776885248),240,34.5,15.78880882
1323,POINT (-3079.473260122901 6283.8148275615595),88,38.666666666666664,30.662914675
1324,POINT (-525.2260085411027 4093.343371642296),486,36.0,22.761208344
1325,POINT (-3565.1819079696543 6099.396253692319),969,36.0,27.710041503333333
1326,POINT (-3385.9171428962177 6106.353933788713),47,32.2,20.51044666285714
1327,POINT (-671.8639094966109 5917.381045442618),680,32.0,12.102662763333333
1328,POINT (-3044.6480084760724 5950.665941497604),434,48.0,14.12858788
1329,POINT (-3149.9034099651917 5907.34610112186),413,47.0,26.7705546925
1330,POINT (-344.87724461848586 3683.020262283885),409,41.333333333333336,17.18130297
1331,POINT (-129.40600692752216 3983.3015893368247),585,34.0,19.097994933333336
1332,POINT (-749.8180735661666 5847.491401868583),584,24.0,18.218980533333333
1333,POINT (-1936.1772434479183 5280.458797272058),333,46.0,11.903927373333334
1334,POINT (-2992.288271256545 6202.617103468241),487,36.666666666666664,23.01681085
1335,POINT (-459.47416762396665 3608.0722709059037),489,51.0,13.01374903
1336,POINT (-746.105838089235 5478.005756514865),260,45.5,13.317820295
1337,POINT (-2488.0018597976323 5885.7340875007185),269,37.25,18.59589973
1338,POINT (-86.78279548948817 4702.886440892045),136,38.0,10.01181678
1339,POINT (-3257.563509525645 5415.033051466755),8,40.0,19.76212348
1340,POINT (-633.2986927355175 5354.847863423291),767,43.666666666666664,18.867151772
1341,POINT (-1033.1767361471275 5766.179874318859),454,41.2,22.457337475
1734,POINT (-3480.17040400516 6856.274228255146),261,46.0,37.2937246125
1735,POINT (-3837.636675203619 5492.86911075103),749,39.0,27.5192035425
1736,POINT (-3588.8792873039974 6178.752204471673),521,37.0,26.245628998
1737,POINT (-4153.336133623585 5376.423146435112),1041,41.833333333333336,22.089054601249998
1738,POINT (-3796.1198513891923 6367.922072582076),627,56.0,16.204025043333335
1739,POINT (-3873.9638746980395 5651.680013350011),1028,39.5,10.2403689
1740,POINT (-3819.3395451914357 5136.905970442903),206,46.666666666666664,21.65334426
1741,POINT (-3707.0822804277777 5086.911895550575),990,37.0,19.795056695
1742,POINT (-3297.4064056514912 7156.152298524017),331,46.6,18.891599931428573
1743,POINT (-3748.3766341391333 5264.252683412442),808,48.333333333333336,19.354496358
1744,POINT (-3588.3242190090755 6798.416765323038),187,34.333333333333336,13.239531723999999
1745,POINT (-3209.738139187618 6557.838945386657),953,50.833333333333336,19.729778637142857
1746,POINT (-3973.0979051297536 5154.380353332814),912,25.0,21.488618358
1747,POINT (-3697.997083892924 5406.876829329331),37,48.0,11.39175504
1748,POINT (-3098.599452999811 6628.6729119697975),160,38.2,16.510629125555553
1749,POINT (-3221.2402871851464 6153.955275915399),932,45.333333333333336,17.5145541075
1750,POINT (-3285.6340071544328 6326.229707307784),686,31.5,16.276646980000002
1751,POINT (-4515.907604161345 4631.612406745221),604,24.0,14.152961753333335
1752,POINT (-3845.045732847575 5576.738358433912),695,55.5,31.96729672
1753,POINT (-3472.3085856843627 6781.220179840805),807,28.0,24.16656207
1754,POINT (-3455.755866902949 6846.648090702398),261,31.0,10.68287553
1755,POINT (-3433.3865437851464 7828.19605341454),183,45.333333333333336,14.704202526666668
1756,POINT (-3556.8182888817087 6641.646724169853),277,29.5,14.46432762
1757,POINT (-3741.432303349839 5162.439641767197),949,44.25,15.309477088888887
1758,POINT (-3742.540064583217 5916.875246852485),267,46.0,15.141006703333334
1759,POINT (-3699.8519673978653 6540.218682083818),305,37.42857142857143,19.437253039999998
1760,POINT (-3210.355459657344 6648.152454626876),543,40.333333333333336,19.154272520000003
1761,POINT (-3804.319468397756 5928.891714229324),26,45.0,16.8531162425
1762,POINT (-3195.7106978818483 6669.514454239059),543,57.0,12.442268235
1763,POINT (-3136.1278958093117 6628.6729119697975),160,40.5,18.664237879999998
1764,POINT (-3233.0731689874065 6116.185085735686),932,31.0,12.788768984999999
1765,POINT (-3556.8182888817087 6705.3104479782905),277,37.6,22.867637568571432
1766,POINT (-3209.738139187618 6522.748316725878),953,37.75,19.619073676
1767,POINT (-3972.0306074440496 5494.63962663673),285,35.5,26.7202218225
1768,POINT (-3837.722151176433 6367.922072582076),627,34.8,25.835767876
1769,POINT (-3864.510743062192 5591.096494771966),695,29.0,20.75842353
1770,POINT (-3796.1198513891923 6330.793189700022),627,40.2,14.11145444125
1771,POINT (-3724.8780422091695 6559.417348100849),305,33.125,22.76814711111111
1772,POINT (-4067.560404648976 6647.483016330907),928,42.0,16.469884245
1773,POINT (-3823.49246369498 5777.21975219098),877,56.0,11.858120245
1774,POINT (-3448.9410759401935 6764.519625514673),807,35.5,21.920141534
1775,POINT (-4150.694543856866 5079.325752156183),28,55.0,10.5874833
1776,POINT (-3968.209268500128 6628.224805854068),714,38.0,16.26701359
1777,POINT (-3676.9008460947675 6798.416765323038),187,47.0,21.20868244
1778,POINT (-3973.0979051297536 5074.196536201016),912,59.0,25.897453515000002
1779,POINT (-4024.211498692567 5693.927626980997),175,47.5,18.595746416
1780,POINT (-3626.9857811665415 6864.377979830607),583,48.0,16.45086054
1781,POINT (-3480.17040400516 6856.274228255146),261,33.666666666666664,20.9086189875
1782,POINT (-3205.791803054025 7158.9906355191815),213,46.4,30.302544190000003
1783,POINT (-3717.4879855839513 6703.2047004256),788,32.0,12.72818762
1784,POINT (-4017.808180711095 6949.612770383012),453,43.333333333333336,27.90706318
1785,POINT (-4597.345294446435 4632.743040664964),129,48.0,32.56292222333334
1786,POINT (-3300.166421375523 6148.413135904235),738,40.625,26.499336855555555
1787,POINT (-4002.9335312988205 6628.224805854068),714,34.0,14.65144807
1788,POINT (-3463.167738075059 7836.545593061912),183,47.6,18.025977694999998
1789,POINT (-3813.2913987997836 5750.038441232494),877,45.0,25.18219372375
1790,POINT (-3927.9102395808727 5570.155155320008),285,35.0,17.792860001428572
1791,POINT (-3209.407405382886 6191.725466095112),932,29.0,12.207743383333332
1792,POINT (-3833.6935285901764 5804.401063149466),877,37.833333333333336,20.51216281142857
1793,POINT (-3313.211912858075 6185.8337275541235),738,48.666666666666664,22.41189863125
1794,POINT (-3786.373075235378 4999.485452069126),802,25.0,29.47621456
1795,POINT (-3267.606054814424 6452.56705940432),953,44.666666666666664,21.68821887142857
1796,POINT (-3725.261225376805 6345.551342169127),1011,36.0,24.679535871428573
1797,POINT (-3759.480918044369 5179.602735764589),949,33.0,11.683468236666668
